                                    12345671234567
66666Jeff           Friedman       T0030000000000012                   x
77777Fred           Brisard        T0020300000300001                   x
77777Fred           Brisard        T0020400000000002                   x
77777Fred           Brisard        T0020000000300003                   x
77777Fred           Brisard        T0020500000000004                   x
77777Fred           Brisard        T0020000000300005                   x
77777Fred           Brisard        T0030600000000006                   x
77777Fred           Brisard        T0033000000000007                   x
77777Fred           Brisard        T0030000000000008                   x
77777Fred           Brisard        T0030400000000009                   x
77777Fred           Brisard        T0030050000000010                   x
77777Fred           Brisard        T0030000000000011                   x
77777Fred           Brisard        T0030000000000012                   x
88888KEVIN          COYNE          T0020300000300001                   x
88888KEVIN          COYNE          T0020400000000002                   x
88888KEVIN          COYNE          T0020000000300003                   x
88888KEVIN          COYNE          T0020500000000004                   x
88888KEVIN          COYNE          T0020000000300005                   x
88888KEVIN          COYNE          T0030600000000006                   x
88888KEVIN          COYNE          T0033000000000007                   x
88888KEVIN          COYNE          T0030000000000008                   x
88888KEVIN          COYNE          T0030400000000009                   x
88888KEVIN          COYNE          T0030050000000010                   x
88888KEVIN          COYNE          T0030000000000011                   x
88888KEVIN          COYNE          T0030000000000012                   x
99999Jon            Holliday       T0020300000300001                   x
99999Jon            Holliday       T0020400000000002                   x
99999Jon            Holliday       T0020000000300003                   x
99999Jon            Holliday       T0020500000000004                   x
99999Jon            Holliday       T0020000000300005                   x
99999Jon            Holliday       T0030600000000006                   x
99999Jon            Holliday       T0033000000000007                   x
99999Jon            Holliday       T0030000000000008                   x
99999Jon            Holliday       T0030400000000009                   x
99999Jon            Holliday       T0030050000000010                   x
99999Jon            Holliday       T0030000000000011                   x
99999Jon            Holliday       T0030000000000012                   x
12345Rich           Groot          T0020300000300001                   x
12345Rich           Groot          T0020400000000002                   x
12345Rich           Groot          T0020000000300003                   x
12345Rich           Groot          T0020500000000004                   x
12345Rich           Groot          T0020000000300005                   x
12345Rich           Groot          T0030600000000006                   x
12345Rich           Groot          T0033000000000007                   x
12345Rich           Groot          T0030000000000008                   x
12345Rich           Groot          T0030400000000009                   x
12345Rich           Groot          T0030050000000010                   x
12345Rich           Groot          T0030000000000011                   x
12345Rich           Groot          T0030000000000012                   x
54321Kevin          Haverlock      T0020300000300001                   x
54321Kevin          Haverlock      T0020400000000002                   x
54321Kevin          Haverlock      T0020000000300003                   x
54321Kevin          Haverlock      T0020500000000004                   x
54321Kevin          Haverlock      T0020000000300005                   x
54321Kevin          Haverlock      T0030600000000006                   x
54321Kevin          Haverlock      T0033000000000007                   x
54321Kevin          Haverlock      T0030000000000008                   x
54321Kevin          Haverlock      T0030400000000009                   x
54321Kevin          Haverlock      T0030050000000010                   x
54321Kevin          Haverlock      T0030000000000011                   x
54321Kevin          Haverlock      T0030000000000012                   x
33331Bob            Kennedy        T0020300000300001                   x
33331Bob            Kennedy        T0020400000000002                   x
33331Bob            Kennedy        T0020000000300003                   x
33331Bob            Kennedy        T0020500000000004                   x
33331Bob            Kennedy        T0020000000300005                   x
33331Bob            Kennedy        T0030600000000006                   x
33331Bob            Kennedy        T0033000000000007                   x
33331Bob            Kennedy        T0030000000000008                   x
33331Bob            Kennedy        T0030400000000009                   x
33331Bob            Kennedy        T0030050000000010                   x
33331Bob            Kennedy        T0030000000000011                   x
33331Bob            Kennedy        T0030000000000012                   x
xxxxxFFFFFFFFFFFFFFFLLLLLLLLLLLLLLLM
ooooo12345678901234512345678901234511234567123456712






